Animal_ID,Epoch,Sleep_State,Tot_Mov,AVG_Amp,STDEV_Amp,AVG_Freq,STDEV_Freq,
AAL,3230,WAKE,123,7.208894036,5.928511736,14.62022533,5.950545348,
AAL,3240,WAKE,105,6.918780252,6.120311644,13.24593249,6.528093614,
AAL,3250,WAKE,87,4.429404169,5.281590389,12.15869325,6.296784604,
AAL,3260,WAKE,117,0.380181912,0.502267406,13.58273933,4.580569738,
AAL,3270,WAKE,81,1.951318549,4.45854611,10.78900732,4.504637414,
AAL,3280,WAKE,102,5.221445104,6.68459845,12.09991049,5.407233896,
AAL,3290,WAKE,75,6.108825722,6.804987557,12.43377609,6.637469421,
AAL,3300,WAKE,87,6.609924261,6.285118747,13.2113452,6.441088307,
AAL,3310,WAKE,138,1.362856895,1.69669778,15.65271748,5.500242267,
AAL,3320,WAKE,114,2.837962206,5.723134424,14.1577082,7.151755886,
AAL,3330,WAKE,93,4.539325856,5.03818934,11.57533574,4.585058566,
AAL,3340,WAKE,105,1.684917159,2.674958004,11.79556662,3.632912815,
AAL,3350,WAKE,102,0.691653485,1.164240602,11.49494835,4.022311199,
AAL,3360,WAKE,105,0.420549492,0.820848483,11.84261818,4.00041015,
AAL,3370,WAKE,117,0.222296268,0.300622836,13.03062635,4.232599677,
AAL,3380,WAKE,105,0.321494367,0.262846914,11.70486124,3.902250838,
AAL,3390,WAKE,96,0.269137432,0.344685615,11.62735452,4.711173857,
AAL,3400,WAKE,108,0.809351753,1.273381161,12.44426007,5.657198302,
AAL,3410,WAKE,135,1.52388964,3.811180518,16.23985384,6.800335885,
AAL,3420,WAKE,108,1.688757782,2.492397199,11.99747116,4.143082844,
AAL,3430,WAKE,111,0.585574877,0.68440943,12.94056364,5.302457341,
AAL,3440,WAKE,114,0.978952205,1.092268258,12.66085083,3.419320299,
AAL,3450,WAKE,135,0.363655688,0.958812918,15.10804334,5.343073216,
AAL,3460,WAKE,132,0.264449939,0.251732541,14.35606443,4.05603545,
AAL,3470,WAKE,147,0.290191318,0.319016321,16.13265882,5.254263236,
AAL,3480,WAKE,99,0.595201552,0.771328968,11.82595942,4.475945298,
AAL,3490,WAKE,111,1.005084085,1.393256367,12.37429086,4.120727608,
AAL,3500,WAKE,117,0.959393094,2.30708369,12.7833057,3.869406093,
AAL,3510,WAKE,111,0.294339892,0.313225128,12.6889696,4.206921887,
AAL,3520,WAKE,111,0.680377686,0.726472467,12.31599306,3.904002905,
AAL,3530,WAKE,108,0.431421009,0.638630429,13.05264839,6.874828968,
AAL,3540,WAKE,108,1.54361706,2.72325821,12.44480959,4.677707681,
AAL,3550,WAKE,90,0.905474625,1.188489125,11.0310222,4.900139796,
AAL,3560,WAKE,66,2.577202729,4.993878098,8.661729994,3.581602672,
AAL,3570,WAKE,102,6.529700996,5.965004043,13.2892606,6.180617489,
AAL,3580,WAKE,96,1.912864156,3.562745184,11.51620849,4.611968445,
AAL,3590,WAKE,63,9.184198364,8.34773351,9.574062086,5.177190393,
AAL,3600,WAKE,33,13.15125743,6.256938029,6.67213613,5.165819221,
AAL,3610,WAKE,105,5.578332136,4.775865609,13.46996517,6.358410904,
AAL,3620,WAKE,111,5.235982308,5.285577033,13.41891871,5.812227506,
AAL,3630,WAKE,111,5.709212017,4.75341487,12.66296308,4.897636028,
AAL,3640,WAKE,111,3.864542093,4.193883652,12.83948162,4.306690944,
AAL,3650,WAKE,114,4.000929113,3.915074803,12.94898418,4.851370571,
AAL,3660,WAKE,102,2.349161752,3.52142535,12.01221075,4.434060587,
